name,country,institution,dblp,pid,final_url,expertise
sumio fujita,japan,yahoo!japan research,https://dblp.uni-trier.de/pers/f/Fujita:Sumio.html,46-1330,https://dblp.uni-trier.de/pid/46/1330.html,7
mohammed eunus ali,bangladesh,bangladesh university of engineering and technology (buet),https://dblp.org/pers/a/Ali:Mohammed_Eunus.html,46-2884,https://dblp.org/pid/46/2884.html,4
bolin ding,"{'china', 'united states'}","{'data analytics and intelligence lab, alibaba group', 'microsoft research'}",https://dblp.org/pers/d/Ding:Bolin.html,46-3522,https://dblp.org/pid/46/3522.html,10
maunendra sankar desarkar,india,"iit hyderabad, india",https://dblp.org/pers/d/Desarkar:Maunendra_Sankar.html,46-8779,https://dblp.org/pid/46/8779.html,5
gregory grefenstette,france,"ihmc and biggerpan, inc",https://dblp.uni-trier.de/pers/g/Grefenstette:Gregory.html,46-968,https://dblp.uni-trier.de/pid/46/968.html,2
lijun chang,australia,the university of sydney,https://dblp.uni-trier.de/pers/c/Chang:Lijun.html,47-179,https://dblp.uni-trier.de/pid/47/179.html,8
xiaoyong du,china,renmin university of china,https://dblp.org/pid/47/3542-1.html,47-3542-1,https://dblp.org/pid/47/3542-1.html,4
peter bailis,united states,mit and stanford,https://dblp.org/pers/b/Bailis:Peter.html,47-8816,https://dblp.org/pid/47/8816.html,9
paolo guagliardo,united kingdom,university of edinburgh,https://dblp.org/pid/47/9855.html,47-9855,https://dblp.org/pid/47/9855.html,5
rakesh malladi,united states,linkedin corporation,https://dblp.org/pid/48/10806.html,48-10806,https://dblp.org/pid/48/10806.html,9
feng zhang,china,renmin university of china,https://dblp.org/pid/48/1294-7.html,48-1294-7,https://dblp.org/pid/48/1294-7.html,4
wai lam,hong kong sar,the chinese university of hong kong,https://dblp.org/pers/l/Lam:Wai.html,48-1707,https://dblp.org/pid/48/1707.html,10
arnab bhattacharya,india,iit kanpur,https://dblp.org/pid/48/2626-1.html,48-2626-1,https://dblp.org/pid/48/2626-1.html,5
yucel saygin,turkey,sabancyn universitesi,https://dblp.org/pid/48/5154.html,48-5154,https://dblp.org/pid/48/5154.html,9
matteo interlandi,united states,microsoft,https://dblp.org/pid/49/10034.html,49-10034,https://dblp.org/pid/49/10034.html,8
cheng yang,china,bupt,https://dblp.uni-trier.de/pid/49/1457-2.html,49-1457-2,https://dblp.uni-trier.de/pid/49/1457-2.html,3
yinan li,united states,microsoft research,https://dblp.uni-trier.de/pers/l/Li:Yinan.html,49-612,https://dblp.uni-trier.de/pid/49/612.html,1
ge yu,china,neu,https://dblp.org/pid/49/6363.html,49-6363,https://dblp.org/pid/49/6363.html,3
mohamed  y. eltabakh,united states,worcester polytechnic institute,https://dblp.org/pid/49/6395.html,49-6395,https://dblp.org/pid/49/6395.html,4
weize kong,united states,university of massachusetts amherst,https://dblp.org/pers/k/Kong:Weize.html,49-8024,https://dblp.org/pid/49/8024.html,2
"{'paris koutris', 'paraschos koutris'}",united states,"{'university of wisconsin-madison', 'u. of wisconsin'}","{'https://dblp.org/pers/k/Koutris:Paraschos.html', 'https://dblp.org/pid/49/8316.html'}",49-8316,https://dblp.org/pid/49/8316.html,1
zsolt istvan,germany,tu darmstadt,https://dblp.org/pid/50/10703.html,50-10703,https://dblp.org/pid/50/10703.html,7
bo li,hong kong sar,hkust,https://dblp.org/pid/50/3402-1.html,50-3402-1,https://dblp.org/pid/50/3402-1.html,8
quanquan gu,united states,university of virginia,https://dblp.org/pers/g/Gu:Quanquan.html,50-4597,https://dblp.org/pid/50/4597.html,7
heiner stuckenschmidt,germany,university of mannheim,https://dblp.org/pers/s/Stuckenschmidt:Heiner.html,50-5895,https://dblp.org/pid/50/5895.html,5
sanjay purushotham,united states,university of southern california,https://dblp.org/pers/p/Purushotham:Sanjay.html,50-7626,https://dblp.org/pid/50/7626.html,1
varish mulwad,united states,ge research,https://dblp.org/pid/51/10288.html,51-10288,https://dblp.org/pid/51/10288.html,7
guihai chen,china,nanjing university,https://dblp.org/pid/51/1742.html,51-1742,https://dblp.org/pid/51/1742.html,7
jian tan,china,alibaba,https://dblp.org/pid/51/2627.html,51-2627,https://dblp.org/pid/51/2627.html,9
chenggang wu,united states,uc berkeley,https://dblp.uni-trier.de/pid/51/3529-1.html,51-3529-1,https://dblp.uni-trier.de/pid/51/3529-1.html,3
fei sun,china,alibaba group,https://dblp.org/pid/51/394-1.html,51-394-1,https://dblp.org/pid/51/394-1.html,9
lu qin,australia,uts,https://dblp.org/pid/51/5585.html,51-5585,https://dblp.org/pid/51/5585.html,1
rui mao,china,shenzhen university,https://dblp.org/pid/51/5793.html,51-5793,https://dblp.org/pid/51/5793.html,1
bernadete loscio,brazil,universidade federal de pernambuco,https://dblp.org/pid/51/6689.html,51-6689,https://dblp.org/pid/51/6689.html,4
karthik ramachandra,india,"{'microsoft research', 'microsoft'}",https://dblp.uni-trier.de/pid/51/792-2.html,51-792-2,https://dblp.uni-trier.de/pid/51/792-2.html,9
yingyi bu,united states,google,https://dblp.org/pers/b/Bu:Yingyi.html,52-1382,https://dblp.org/pid/52/1382.html,6
periklis andritsos,canada,university of toronto,https://dblp.org/pid/52/1486.html,52-1486,https://dblp.org/pid/52/1486.html,3
yuliang li,united states,megagon labs,https://dblp.org/pid/52/4954-1.html,52-4954-1,https://dblp.org/pid/52/4954-1.html,1
johns paul,singapore,nanyang technological university,https://dblp.org/pid/52/6414.html,52-6414,https://dblp.org/pid/52/6414.html,4
niloy ganguly,india,indian institute of technology kharagpur,https://dblp.org/pers/g/Ganguly:Niloy.html,52-6987,https://dblp.org/pid/52/6987.html,9
xin zhao,china,"renmin university of china, school of information",https://dblp.uni-trier.de/pers/z/Zhao:Wayne_Xin.html,52-8700,https://dblp.uni-trier.de/pid/52/8700.html,3
